Price,High,Low,Open,Date,Volumefrom,Volumeto
987.53,987.72,881.81,891.11,2017-12-16,28743.63,26154291.36
891.11,936.15,830.19,926.76,2017-12-15,35074.8,30711779.09
927.76,962.5,863.27,872.67,2017-12-14,43067.9,39251014.22
871.76,925.92,784.9,881.32,2017-12-13,56381.98,48658875.06
881.35,925.89,733.44,755.7,2017-12-12,65276.69,54022245.55
755.55,757.87,668.91,669.82,2017-12-11,33396.54,24150930.4
669.63,707.95,629.56,707.95,2017-12-10,47191.62,31613840.44
707.95,750.01,689.84,700.19,2017-12-09,47811.19,34562357.65
700.25,742.32,623.95,660.2,2017-12-08,65403.64,44897007.48
660.26,690.19,623.49,667.35,2017-12-07,53823.6,35149549.12
667.35,761.58,648.8,731.41,2017-12-06,56253.41,39983549.43
731.29,768.36,730.44,764.45,2017-12-05,30055.18,22575481.02
764.64,770.53,727.82,759.87,2017-12-04,25869.36,19524298.15
759.93,807.68,728.54,764.97,2017-12-03,46373.48,35886507.59
764.95,789.81,752.5,781.67,2017-12-02,32028.67,24574397.03
781.52,793.09,730.81,758.32,2017-12-01,52244.54,39792316.86
758.71,809.6,650.38,667.68,2017-11-30,112659.58,82526493.4
667.55,762.17,605.19,609.61,2017-11-29,118568.16,79977049.91
609.83,628.88,599.82,623.7,2017-11-28,35843.62,22009515.03
623.72,634.31,599.24,617.65,2017-11-27,32596.64,20271205.87
616.45,639.98,606.4,636.1,2017-11-26,15032.86,9326984.44
636.12,653.12,559.66,560.92,2017-11-25,62296.12,37896851.15
560.92,567.67,542.71,561.21,2017-11-24,29972.87,16695883.38
561.55,583.5,550.08,573.65,2017-11-23,49868.08,28189801.52
573.66,595.42,492.35,492.44,2017-11-22,89611.61,49669845.89
491.66,521.8,453.66,485.94,2017-11-21,90947.64,44648159.13
485.96,499.48,437.42,442.11,2017-11-20,34757.15,15897661.28
442.39,455.25,430.58,454.16,2017-11-19,30697.95,13597937.03
453.55,476.09,421.09,423.82,2017-11-18,63461.67,28470872.7
423.94,441.75,410.92,419.44,2017-11-17,44951.39,18998837.58
419.44,425.56,409.99,420.76,2017-11-16,39224.83,16347116.16
420.68,440.8,409.85,420.93,2017-11-15,39679.06,16846058.75
420.93,439.34,402.14,421.66,2017-11-14,45410.22,18968410.39
421.66,501.86,394.72,489.63,2017-11-13,120290.54,52425211.09
487.14,497.29,322.02,343.55,2017-11-12,171625.99,69769602.62
343.43,349.75,315.54,327.31,2017-11-11,47256.64,15878802.23
325.89,352.04,305.16,325.34,2017-11-10,70543.93,23273769.25
325.37,337.35,310.91,313.12,2017-11-09,56740.46,18481959.56
313.2,315.12,285.36,288.95,2017-11-08,65833.22,19975846.67
288.95,302.01,273.48,273.81,2017-11-07,49703.96,14342838.09
273.87,279.37,266.94,272.17,2017-11-06,31240.03,8546684.63
272.22,275.98,269.69,273.45,2017-11-05,20896.97,5687262.35
273.45,280.47,264.49,276.8,2017-11-04,33610.98,9149112.03
276.79,280.01,258.44,263.22,2017-11-03,36519.53,9795115.02
263.22,271.5,248.69,269.6,2017-11-02,48103.89,12547984.12
269.64,278.89,269.22,277.07,2017-11-01,26648.32,7299692.86
277.23,285.84,276.7,284.94,2017-10-31,23268.21,6545939.76
284.93,288.24,281.75,282.92,2017-10-30,20107.26,5728443.96
282.92,288.75,272.83,273.55,2017-10-29,99256.45,27691510.99
273.53,286.74,263.62,280.35,2017-10-28,35634.61,9842257.85
280.56,287.24,277.88,284.73,2017-10-27,22607.11,6354885.34
284.86,289.85,279.64,286.15,2017-10-26,28500.8,8104817.47
286.19,297.83,281.07,291.0,2017-10-25,23078.88,6633813.41
291.0,300.31,270.96,279.46,2017-10-24,36707.54,10670117.67
279.39,288.85,261.2,273.64,2017-10-23,32869.18,8995661.98
273.86,283.23,262.99,276.7,2017-10-22,36022.42,9827540.78
276.66,290.01,269.27,287.47,2017-10-21,28214.01,7920873.42
287.54,300.56,286.28,293.98,2017-10-20,28867.88,8447337.08
293.7,299.02,290.27,296.28,2017-10-19,23392.16,6876876.17
296.19,300.32,277.3,299.61,2017-10-18,28031.47,8089592.47
299.48,302.7,296.19,301.96,2017-10-17,33335.21,10009981.66
302.16,311.96,300.69,308.81,2017-10-16,28274.36,8641865.07
308.89,317.26,292.36,316.35,2017-10-15,33718.96,10246336.65
316.35,319.26,304.42,308.82,2017-10-14,27483.56,8602112.17
308.82,309.63,287.28,290.81,2017-10-13,40248.95,12112187.1
290.81,298.6,288.46,298.21,2017-10-12,19293.81,5668887.59
298.21,301.17,286.19,290.93,2017-10-11,17388.83,5112713.01
290.93,296.11,279.24,282.33,2017-10-10,26105.46,7520877.23
282.33,301.97,270.1,301.97,2017-10-09,42025.42,12097211.9
301.97,317.12,301.22,311.52,2017-10-08,21892.0,6788832.86
311.52,315.15,301.9,305.95,2017-10-07,17467.2,5375961.67
305.95,312.71,303.1,305.35,2017-10-06,18965.96,5823721.82
305.35,307.8,293.16,303.32,2017-10-05,24142.19,7268075.26
303.32,317.21,294.17,294.5,2017-10-04,33253.42,10177586.86
294.5,310.08,288.66,307.98,2017-10-03,26893.23,8017155.7
307.98,322.06,305.29,317.01,2017-10-02,17563.42,5529365.43
317.01,330.82,315.89,329.58,2017-10-01,17000.85,5463844.7
329.58,333.94,328.15,328.7,2017-09-30,17321.84,5740463.55
328.7,344.18,319.74,342.36,2017-09-29,31997.25,10504550.94
342.36,365.38,336.34,350.51,2017-09-28,26640.29,9194526.07
350.51,357.66,338.17,341.7,2017-09-27,25715.74,8897001.47
341.7,354.15,338.97,348.22,2017-09-26,19511.77,6726823.81
348.22,350.91,328.79,329.2,2017-09-25,31106.94,10656214.05
329.2,357.69,327.68,351.08,2017-09-24,36386.26,12477855.89
351.08,359.12,338.27,342.61,2017-09-23,25792.61,9002742.96
342.61,357.38,328.06,329.85,2017-09-22,39286.74,13452395.11
329.85,369.95,320.66,342.58,2017-09-21,70692.63,24401176.02
342.58,350.16,315.94,325.95,2017-09-20,35004.85,11814804.75
325.95,336.68,313.09,335.58,2017-09-19,23010.15,7463678.51
335.58,339.45,312.03,312.09,2017-09-18,30001.48,9897141.28
312.09,317.04,277.77,300.27,2017-09-17,28249.9,8426521.68
300.27,304.69,277.43,285.56,2017-09-16,24589.25,7232040.99
285.56,300.16,220.65,240.08,2017-09-15,53774.49,13901624.19
240.08,301.74,238.71,298.96,2017-09-14,44966.32,11821528.93
298.96,326.59,284.57,326.59,2017-09-13,28873.46,8674149.92
326.59,330.22,317.62,318.41,2017-09-12,25878.49,8428432.99
317.75,333.43,315.56,324.26,2017-09-11,23049.6,7423311.92
324.26,329.01,296.21,325.42,2017-09-10,29242.76,9139370.73
324.84,335.08,312.85,330.89,2017-09-09,22505.66,7310575.62
330.89,371.91,311.94,346.98,2017-09-08,41882.65,14197400.43
346.98,350.34,333.46,349.76,2017-09-07,17635.63,6044963.48
349.76,352.48,324.96,326.74,2017-09-06,20459.74,6952699.63
326.74,333.78,281.85,313.65,2017-09-05,40743.1,12438297.25
313.65,357.8,296.03,356.27,2017-09-04,36878.3,11934718.12
356.27,373.64,333.87,348.09,2017-09-03,27227.44,9645202.63
348.09,400.72,326.69,395.46,2017-09-02,40172.97,14449624.06
395.46,395.86,375.96,380.77,2017-09-01,24060.81,9302797.37
380.77,383.22,369.39,371.61,2017-08-31,13130.32,4927009.32
371.61,374.95,358.43,360.1,2017-08-30,17638.51,6488913.01
360.1,368.96,352.72,356.56,2017-08-29,21446.8,7727693.33
356.56,369.56,347.91,362.9,2017-08-28,21045.25,7511719.93
362.9,398.07,355.84,396.74,2017-08-27,29333.76,10960226.13
396.74,411.76,314.22,314.96,2017-08-26,62984.44,23052661.32
314.96,319.82,306.21,313.34,2017-08-25,23127.32,7258765.62
313.34,313.41,290.56,292.46,2017-08-24,19724.06,5943351.86
292.46,297.48,286.68,291.74,2017-08-23,19692.95,5764876.52
291.76,300.61,261.03,281.22,2017-08-22,32427.2,9191661.26
281.22,299.06,275.8,291.51,2017-08-21,24216.55,5409807.11
291.51,318.68,283.76,286.58,2017-08-20,36909.39,11139950.41
286.58,318.3,222.56,222.63,2017-08-19,90699.79,25472364.19
222.63,239.59,217.13,234.74,2017-08-18,21769.05,4995901.25
234.74,261.7,228.47,231.08,2017-08-17,65448.85,16148445.68
231.08,234.5,197.78,202.64,2017-08-16,41896.15,9215376.88
202.64,204.76,190.63,198.74,2017-08-15,25867.51,5137490.19
198.74,203.18,194.08,196.9,2017-08-14,21334.25,4238297.21
196.9,207.59,187.07,204.29,2017-08-13,27790.54,5529370.91
204.29,210.39,200.62,205.66,2017-08-12,18973.47,3908100.02
205.66,208.41,198.26,201.01,2017-08-11,17917.86,3651608.71
201.01,205.87,195.0,198.94,2017-08-10,17954.48,3622625.4
198.94,206.28,193.21,203.31,2017-08-09,21294.67,4246938.05
203.31,204.33,192.93,196.64,2017-08-08,18416.92,3653101.36
196.64,199.5,186.21,188.77,2017-08-07,26162.65,5071813.83
188.77,194.24,187.03,192.0,2017-08-06,17499.96,3348779.74
192.0,196.4,183.44,187.09,2017-08-05,29712.47,5674366.75
187.09,191.71,184.8,187.64,2017-08-04,17832.59,3366678.06
187.64,190.66,177.37,181.6,2017-08-03,20991.67,3870235.33
181.6,198.06,178.18,184.04,2017-08-02,17192.55,3145253.35
184.04,185.89,174.37,175.72,2017-08-01,36817.7,6623496.84
175.72,178.86,170.4,171.41,2017-07-31,23227.69,4043191.36
171.41,188.29,170.19,185.5,2017-07-30,21082.16,3724980.58
185.5,186.73,168.29,184.58,2017-07-29,29988.88,5287873.65
184.58,197.69,179.97,193.71,2017-07-28,24301.85,4563945.32
193.71,199.4,190.22,192.22,2017-07-27,20911.96,4067354.38
192.22,204.6,185.71,193.45,2017-07-26,28430.1,5493107.14
193.45,208.32,179.19,201.48,2017-07-25,51498.12,10144686.67
201.48,212.04,183.46,188.71,2017-07-24,61664.35,12635651.58
188.71,191.48,184.75,190.17,2017-07-23,20146.75,3859191.65
190.17,190.42,180.34,182.04,2017-07-22,22214.61,4239616.99
182.04,191.2,177.56,182.7,2017-07-21,24589.15,4653933.46
182.7,191.94,153.52,153.52,2017-07-20,69795.3,12743123.97
153.52,169.31,151.69,154.61,2017-07-19,23485.65,3794440.38
154.61,163.14,144.39,149.99,2017-07-18,32977.66,5103146.16
149.99,150.65,131.35,131.35,2017-07-17,38283.22,5464044.24
131.35,145.91,118.81,141.88,2017-07-16,63915.75,8363846.66
141.88,161.7,139.66,159.51,2017-07-15,39573.38,5812805.43
159.51,173.47,154.9,167.74,2017-07-14,27812.33,4523117.42
167.74,180.54,165.57,177.73,2017-07-13,24955.99,4296896.98
177.73,179.02,157.67,162.62,2017-07-12,28378.64,4867059.25
162.62,179.12,156.51,174.07,2017-07-11,45153.25,7394960.08
174.07,198.41,168.56,195.49,2017-07-10,35639.41,6553855.02
