"Date","Price","Open","High","Low","Change %"
"Jan 21, 2017","924","895.7","931","893.9","3.13"
"Jan 20, 2017","896","900.3","904.5","883.3","-0.48"
"Jan 19, 2017","900.3","887.6","908.2","884.6","1.41"
"Jan 18, 2017","887.8","904","913.8","847.3","-1.8"
"Jan 17, 2017","904","830.1","910.8","828","8.9"
"Jan 16, 2017","830.1","820.7","837.9","814.8","1.14"
"Jan 15, 2017","820.7","815.3","823","805.1","0.67"
"Jan 14, 2017","815.3","828.1","838.5","800.7","-1.55"
"Jan 13, 2017","828.1","804.6","832.3","776","2.93"
"Jan 12, 2017","804.6","779.5","831.2","738.7","3.34"
"Jan 11, 2017","778.6","905.8","922.6","760","-14.04"
"Jan 10, 2017","905.8","903","917.9","895.5","0.31"
"Jan 09, 2017","903","915.9","916.1","876.3","-1.41"
"Jan 08, 2017","915.9","908.8","942.5","890","0.78"
"Jan 07, 2017","908.8","898.5","911","816.1","1.21"
"Jan 06, 2017","898","1,003.8","1,025.0","871","-10.49"
"Jan 05, 2017","1,003.2","1,139.8","1,166.0","865.4","-11.97"
"Jan 04, 2017","1,139.6","1,037.5","1,150.0","1,036.4","9.84"
"Jan 03, 2017","1,037.5","1,019.3","1,038.7","1,013.5","1.79"
"Jan 02, 2017","1,019.3","999.2","1,034.8","997.3","2.03"
"Jan 01, 2017","999","966.6","1,006.5","961.3","3.35"
"Dec 31, 2016","966.6","959.2","968","945","0.76"
"Dec 30, 2016","959.3","974.7","974.7","929.8","-1.37"
"Dec 29, 2016","972.6","981.7","983","949","-0.92"
"Dec 28, 2016","981.7","936.4","983","936.4","4.85"
"Dec 27, 2016","936.3","906.4","940","903.5","3.3"
"Dec 26, 2016","906.4","898","920","894.2","0.94"
"Dec 25, 2016","898","895.2","901.5","858.6","0.31"
"Dec 24, 2016","895.2","919","919.8","882.8","-2.58"
"Dec 23, 2016","919","859.2","920","859","6.96"
"Dec 22, 2016","859.2","829.3","873.9","825","3.52"
"Dec 21, 2016","830","798.8","830.5","795","4.01"
"Dec 20, 2016","798","790.6","802.3","788","0.94"
"Dec 19, 2016","790.6","790.2","792.2","788","0.05"
"Dec 18, 2016","790.2","791","792.8","784.4","-0.1"
"Dec 17, 2016","791","784.2","793","784.2","0.87"
"Dec 16, 2016","784.2","777.4","785","775.9","0.87"
"Dec 15, 2016","777.4","774.5","780.1","774.5","0.38"
"Dec 14, 2016","774.5","775","781.2","771.2","-0.07"
"Dec 13, 2016","775","778","788.9","763.7","-0.38"
"Dec 12, 2016","778","770.2","784.1","770.2","1.01"
"Dec 11, 2016","770.2","772.9","773.7","761.8","-0.35"
"Dec 10, 2016","772.9","770.5","777.8","770","0.31"
"Dec 09, 2016","770.5","765","772.7","765","0.72"
"Dec 08, 2016","765","765","773.2","762.7","0"
"Dec 07, 2016","765","757.2","772.2","749.1","1.01"
"Dec 06, 2016","757.4","750.6","758.5","750.4","0.9"
